name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
 Lam Loan,1576,0.3,0,0.1,0,7.5,0,92.1
Cha Tae Sik,1579,0.1,0,0,0,99.2,0,0.7
 Lam Loan,1582,3.3,0,2.1,0,58.8,0,35.8
Cha Tae Sik,1583,0,0,0,0,99.9,0,0.1
Cha Tae Sik,1601,0,0,0,10.8,86.6,0,2.6
 Jong Seok,1635,0,0,0.1,0,98.4,0,1.5
 Jong Seok,1642,0,0,0,0.3,0,0,99.7
 Lam Loan,1649,3.3,0,22.7,0,73.3,0,0.7
Cha Tae Sik,1651,0,0,0.8,0,99.1,0,0.1
 Lam Loan,1653,2.8,0,0.2,0,41.7,0,55.3
Cha Tae Sik,1659,0,0,0.2,0,99.8,0,0
 Lam Loan,1661,0.2,0,0,0,1.5,0,98.3
Cha Tae Sik,1667,0,0,0.3,0,99.7,0,0
Cha Tae Sik,1672,0.2,0,0.8,0,98.9,0,0.1
 Lam Loan,1673,0,0,0,0,0,0.2,99.8
Cha Tae Sik,1678,0,0,0.9,0,99.1,0,0
 Lam Loan,1680,5.8,0,0,0,13.6,0,80.5
Cha Tae Sik,1686,0.1,0,1.5,0,98.3,0,0
 Lam Loan,1690,2.4,0,0,0,6.9,0,90.7
 Lam Loan,1697,0.7,0,0,99.2,0,0,0
Cha Tae Sik,1697,0.1,0,0.1,0,97.6,0,2.1
 Lam Loan,1698,79.4,0,0.1,1.4,5.2,2.6,11.3
 Lam Loan,1707,0.8,0,0.7,0,62.9,0,35.6
 Lam Loan,1714,2.1,0,2.9,0,87.8,0,7.1
Cha Tae Sik,1723,2.6,0,0,76.5,20.6,0,0.3
Cha Tae Sik,1728,8.7,0,0,0.1,80.6,0,10.5
 Jeong So Mi,1735,96.1,0,0.2,0.5,3.2,0,0
Cha Tae Sik,1737,99,0,0,0.1,0.9,0,0
Cha Tae Sik,1739,37,0,1,0.2,28.3,0,33.5
Cha Tae Sik,1744,38.7,0,0.5,0,24.4,0,36.3
 Jeong So Mi,1754,2.1,0,0,0.1,1.5,0,96.3
Cha Tae Sik,1757,0,0,0.1,0,51.5,0,48.3
 Jong Seok,1779,15.7,0,66,0.1,15.9,0.1,2.1
 Lam Loan,1787,0.5,0,0,0.6,0.8,0,98
 Jong Seok,1787,14.1,0,55.5,0,30.4,0,0
Cha Tae Sik,1848,24.8,0,0,0.1,71.3,0,3.8
Cha Tae Sik,1860,0.4,0,0.1,0.5,57.6,0,41.4
 Man Seok,1875,7.2,0,1.8,3.3,56.2,0.4,31
 Jong Seok,1875,4,0,21.2,3.3,14.2,0.5,56.7
Cha Tae Sik,1927,0,0,0.6,0,99.4,0,0
Cha Tae Sik,1929,0,0,0,0,14.2,0,85.8
Cha Tae Sik,1935,0,0,0,0,1.1,0,98.9
Cha Tae Sik,1952,0.7,0,0,0.1,96.8,0,2.3
 Man Seok,1957,0.1,0,0.1,0.1,99.2,0,0.5
 Jong Seok,1957,0,0,0,0.1,0.4,0,99.5
Cha Tae Sik,1967,69.7,0,7.1,0,22.8,0,0.4
Cha Tae Sik,1975,100,0,0,0,0,0,0
Cha Tae Sik,2043,0.3,0,0.2,0,0.5,0,99.1
Cha Tae Sik,2046,0,0,57.3,1.2,4.4,0,37.1
Cha Tae Sik,2059,0,0,0.2,0.3,60.8,0,38.6
Cha Tae Sik,2060,4.4,1.5,25,52.9,16.1,0,0.2
Cha Tae Sik,2061,0,0,2.4,0.6,96.6,0,0.4
Cha Tae Sik,2068,0,0,0,0,81.6,0,18.4
Cha Tae Sik,2069,0,0,0,0,32.2,0,67.8
Cha Tae Sik,2074,0,0,0,0,90.6,0,9.4
Cha Tae Sik,2088,0,0,0,0,3.2,0,96.7
Cha Tae Sik,2096,0,0,0,0,36,0,63.9
Cha Tae Sik,2104,0,0,0,0,85.6,0,14.3
Cha Tae Sik,2108,0,0,0,0,19.6,0,80.4
Cha Tae Sik,2116,0,0,0,0,1.2,0,98.8
Cha Tae Sik,2124,0,0,0,0,1.6,0,98.4
Cha Tae Sik,2130,0,0,0,0,10.1,0,89.9
Cha Tae Sik,2132,57.1,0,0.3,0.3,0.3,0,42
Cha Tae Sik,2138,33.4,0,0,0,3.4,0,63.3
Cha Tae Sik,2143,0,0,0,0.1,0.1,0,99.8
Cha Tae Sik,2144,0,0,0,0,40.5,0,59.5
Cha Tae Sik,2146,0.5,0,0,0,17.9,0,81.6
 Man Seok,2183,7,0,11.6,21,20.6,4.4,35.4
 Jong Seok,2183,0,0,5.4,7.1,40.6,0,46.9
 Man Seok,2201,4,0,44.8,4.5,0.7,45.9,0
 Jong Seok,2201,1,0,1.4,0,42.2,0,55.4
 Jong Seok,2203,0,0,6.9,3.8,18.7,0.1,70.5
 Man Seok,2203,0.2,0,16.6,0.8,22.7,9.3,50.4
Cha Tae Sik,2253,0,0,97.6,0,2.3,0,0
Cha Tae Sik,2255,0,0,0,67.4,0.7,0,31.9
Cha Tae Sik,2259,28.2,0,0,3.4,42.7,0,25.7
Cha Tae Sik,2261,36.3,0,6.3,0,49.3,0,8.2
Cha Tae Sik,2273,3,0.1,26.9,0.1,69.1,0,0.9
Cha Tae Sik,2282,3.3,0,96.6,0,0.1,0,0
Cha Tae Sik,2291,9.8,0,5.7,0,6.2,0,78.2
Cha Tae Sik,2292,7.1,0,1,0.1,56.2,0,35.6
Cha Tae Sik,2304,3.7,0,82.8,0.1,13.4,0,0
Cha Tae Sik,2308,1.3,0,1.6,0,70.1,0,27
Cha Tae Sik,2311,58,0,0.2,0,23.1,0,18.7
Cha Tae Sik,2312,87.6,0.7,9.4,0.3,0.6,1.1,0.4
Cha Tae Sik,2313,0.3,0,2.4,0,36.9,0,60.4
Cha Tae Sik,2325,0,0,0,0,100,0,0
Cha Tae Sik,2328,70.5,0,21.9,0.1,7.4,0,0
Cha Tae Sik,2331,10.6,0.2,0.7,0.1,57.1,0,31.3
Cha Tae Sik,2351,7.6,0,0.4,55.9,2.7,0.5,32.9
Cha Tae Sik,2356,0,0,1.3,92.6,4.1,0,2
Cha Tae Sik,2358,0.1,0,0.1,0.1,1.2,0,98.5
Cha Tae Sik,2367,8.9,0,0.1,0,88.4,0,2.6
Cha Tae Sik,2372,2.4,0,0,0,85.3,0,12.3
Cha Tae Sik,2384,8.9,0,1.2,0.4,89.5,0,0.1
Cha Tae Sik,2445,0.1,0,0,0,0.3,0,99.6
Cha Tae Sik,2571,12.9,0,6.5,0,77.2,0,3.4
Cha Tae Sik,2575,1.6,0,4,0,93.9,0,0.5
Cha Tae Sik,2580,60.6,0,21.2,0.2,13.2,0.2,4.7
Cha Tae Sik,2587,0,0,0,0,100,0,0
 Jeong So Mi,2726,0,0,0.6,0,99.4,0,0
 Jeong So Mi,2729,1.4,0,0,0,91.4,0,7.2
 Jeong So Mi,2731,0,0,0,0,100,0,0
 Jeong So Mi,2733,3.8,0,0.5,0,95.6,0,0
 Jeong So Mi,2736,0.1,0,0,0,0.1,0,99.8
 Jeong So Mi,2767,0.7,0,2,0,90.7,0,6.7
 Jeong So Mi,2769,1.2,0,1,0,52.9,0,44.8
 Jeong So Mi,2775,1.7,0,0,0,12.5,0,85.8
 Jeong So Mi,2807,49,0,0.1,0,43.5,0,7.5
 Jeong So Mi,2825,0.1,0,0.1,0,88.2,0,11.6
 Jong Seok,2946,0,0,40.2,0,45.8,0,14
 Man Seok,2946,0,0,56,0,15.1,0,28.9
 Man Seok,2952,51.4,0,14.5,0,22.3,2.1,9.7
 Jong Seok,2958,0.1,0,0.3,0.6,12.1,0.1,86.8
 Jong Seok,2961,0.5,0,1.8,0.1,27.1,0,70.5
 Jong Seok,2965,6.5,0,32.7,0,45,0,15.8
 Man Seok,2972,0.1,0,0,0,1.1,0,98.7
 Jong Seok,2976,0,0,0,0,1.2,0,98.8
 Jong Seok,2981,2.8,0,2.4,0,47.1,0.4,47.3
 Jong Seok,2986,0.2,0,0,99.7,0,0,0.1
 Jong Seok,2993,3.2,0.3,18.1,0.6,38.2,0,39.6
 Jong Seok,2996,0,0,0.9,0.6,21.1,0,77.4
 Jong Seok,3002,0.1,0,58.7,3.9,0.8,14.3,22.1
 Jong Seok,3005,67.7,0,0.2,0,32.1,0,0
 Jong Seok,3008,4.5,0,10.5,0.2,58.8,0,25.9
 Man Seok,3008,75.5,0,0,0,2.2,0,22.3
 Man Seok,3009,86.9,3.9,0.9,0.2,7.7,0,0.5
 Jong Seok,3013,0,0,0,0,0,0,100
 Jong Seok,3015,0,0,93.3,0.4,0,6.3,0
 Jong Seok,3016,0,0,0.8,1.2,0.1,0,97.9
 Man Seok,3018,89.9,0,1.4,0,5.2,0,3.4
