name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Cha Tae Sik,538,0,0,0,0,99.2,0,0.8
Park Hyo Jeong,541,0.1,0,0.4,0,93,0,6.5
Cha Tae Sik,543,0,0,0,0,98.4,0,1.6
Park Hyo Jeong,547,0.3,0,8,0,86.1,0,5.7
Jeong So Mi,548,82.7,1.1,0.6,0.1,15.1,0,0.4
Cha Tae Sik,550,0,0,0,0,1.2,0,98.8
Park Hyo Jeong,551,0,0,0,0,51.2,0,48.7
Cha Tae Sik,553,0,0,0,14.8,81.6,0,3.6
Jeong So Mi,558,7,0,0,1.1,1.6,0.1,90.1
Cha Tae Sik,560,0,0,0,0,95.5,0,4.4
Cha Tae Sik,563,0,0,0,0.1,39.5,0,60.3
Park Hyo Jeong,569,0.5,0,1.3,0.1,40.2,0,57.9
Cha Tae Sik,572,0,0,0,0,91.9,0,8.1
Cha Tae Sik,574,0,0,0.1,0,30.8,0,69
Cha Tae Sik,575,48.9,0,0,0.4,45.5,0,5.2
Park Hyo Jeong,577,5.6,0,0.6,0,31.3,0,62.4
Park Hyo Jeong,579,2.5,0,4,0.1,35.5,0,58
Park Hyo Jeong,587,0.6,0,8.5,0,77.8,0,13.1
Cha Tae Sik,594,0.6,0,0,0.2,46.5,0,52.7
Park Hyo Jeong,597,2.1,0,1.1,0,11.3,0,85.5
Cha Tae Sik,606,35,0,0.1,0,31,0,33.9
Park Hyo Jeong,609,0.5,0,0.2,0.1,82.9,0,16.2
Park Hyo Jeong,611,0,0,4.4,0.2,89.6,0,5.9
Park Hyo Jeong,614,0.2,0,0,0.9,2.2,0,96.7
Cha Tae Sik,619,37.8,0,0.7,0,17.9,0.7,42.8
Park Hyo Jeong,622,0.7,0,51.7,0,46.9,0,0.7
Jeong So Mi,632,0.3,0,0.4,71.5,11.8,0.4,15.7
Jeong So Mi,633,0,0,0,99.9,0,0,0.1
Cha Tae Sik,635,15,0,0.2,0.4,84.4,0,0
Cha Tae Sik,636,0,0,0,0,98.2,0,1.8
Cha Tae Sik,638,48.8,0,0,1.1,36.5,0,13.6
